normalization,subset,n_cells,n_donors,macro_f1,balanced_accuracy,accuracy
V5_aligned_input_gene_library,all_primary,1404,3,0.37972798540827157,0.4045027847732508,0.55056980056980054
V5_aligned_input_gene_library,high_conf_marker_reference,1035,3,0.39187148512942532,0.41697243281664548,0.61352657004830913
V5_aligned_input_gene_library,donor_8036,124,1,0.41506202480992399,0.43879731379731379,0.49193548387096769
V5_aligned_input_gene_library,donor_8165,858,1,0.36567915959940311,0.4064063475985481,0.49766899766899769
V5_aligned_input_gene_library,donor_8167,422,1,0.32123278130526772,0.35342990342990338,0.67535545023696686
full_external_library_sensitivity,all_primary,1404,3,0.37188901417317588,0.40061215180751519,0.54772079772079774
full_external_library_sensitivity,high_conf_marker_reference,1035,3,0.3896244534312393,0.42082225795861378,0.61159420289855071
full_external_library_sensitivity,donor_8036,124,1,0.39492063492063489,0.42399267399267399,0.4838709677419355
full_external_library_sensitivity,donor_8165,858,1,0.35956945909676991,0.40517279628995179,0.49417249417249409
full_external_library_sensitivity,donor_8167,422,1,0.32128591058703221,0.35342990342990338,0.67535545023696686
