source_cell_class,n_cells,USP9X_positive,USP9X_positive_pct
Ast,736,34,4.6195652173913038
End,51,3,5.8823529411764701
Ex1,1896,179,9.4409282700421944
Ex2,306,32,10.457516339869279
Ex3e,364,49,13.461538461538462
Ex4,701,66,9.4151212553495007
Ex5b,628,65,10.35031847133758
Ex6a,109,13,11.926605504587156
Ex6b,570,47,8.2456140350877192
Ex8,141,8,5.6737588652482271
In1a,87,8,9.1954022988505741
In1b,120,12,10
In1c,279,16,5.7347670250896057
In3,209,16,7.6555023923444976
In4a,124,9,7.2580645161290329
In4b,237,23,9.7046413502109701
In6a,101,7,6.9306930693069324
In6b,553,44,7.9566003616636527
In7,33,1,3.0303030303030303
In8,586,48,8.1911262798634805
Mic,187,10,5.3475935828877006
OPC,433,25,5.7736720554272516
Oli,1757,92,5.2361980648833244
Per,45,2,4.4444444444444446
