category,gene,label,n_cells,n_patients,mean_log_normalized,n_positive,positive_pct
USP9X,USP9X,iCAF_like_uncertain,37,6,0.1111333074493685,9,24.324324324324326
USP9X,USP9X,myCAF_like,188,10,0.21047450849511781,49,26.063829787234045
USP9X,USP9X,pericyte_vCAF_like,617,10,0.199888505393231,134,21.717990275526741
pericyte_annotating,PDGFRB,iCAF_like_uncertain,37,6,0.79822623138292825,24,64.86486486486487
pericyte_annotating,PDGFRB,myCAF_like,188,10,1.3953536795684836,163,86.702127659574472
pericyte_annotating,PDGFRB,pericyte_vCAF_like,617,10,1.5159020835665644,533,86.385737439222041
pericyte_annotating,RGS5,iCAF_like_uncertain,37,6,0.28895194250049677,6,16.216216216216218
pericyte_annotating,RGS5,myCAF_like,188,10,2.4038428565476622,170,90.425531914893639
pericyte_annotating,RGS5,pericyte_vCAF_like,617,10,3.4864982340766639,611,99.027552674230165
pericyte_annotating,BGN,iCAF_like_uncertain,37,6,1.8389912083518525,34,91.891891891891902
pericyte_annotating,BGN,myCAF_like,188,10,2.3853322512933315,184,97.872340425531917
pericyte_annotating,BGN,pericyte_vCAF_like,617,10,2.8978378759083165,610,98.865478119935162
pericyte_annotating,COL4A1,iCAF_like_uncertain,37,6,1.4384555479777863,31,83.78378378378379
pericyte_annotating,COL4A1,myCAF_like,188,10,3.1917725707714522,186,98.936170212765958
pericyte_annotating,COL4A1,pericyte_vCAF_like,617,10,3.4463335253009921,616,99.837925445705039
myCAF_annotating,ACTA2,iCAF_like_uncertain,37,6,1.1973833428198466,24,64.86486486486487
myCAF_annotating,ACTA2,myCAF_like,188,10,4.6144702847848249,188,100
myCAF_annotating,ACTA2,pericyte_vCAF_like,617,10,2.2020032252425339,502,81.361426256077792
myCAF_annotating,TAGLN,iCAF_like_uncertain,37,6,2.4440648660380786,33,89.189189189189193
myCAF_annotating,TAGLN,myCAF_like,188,10,4.5434060182550411,188,100
myCAF_annotating,TAGLN,pericyte_vCAF_like,617,10,2.8827190803525391,573,92.868719611021064
myCAF_annotating,CNN1,iCAF_like_uncertain,37,6,0.0094908381412454994,1,2.7027027027027022
myCAF_annotating,CNN1,myCAF_like,188,10,0.81853536532808424,108,57.446808510638313
myCAF_annotating,CNN1,pericyte_vCAF_like,617,10,0.061227761928333201,44,7.1312803889789302
myCAF_annotating,MYL9,iCAF_like_uncertain,37,6,1.69370771700483,33,89.189189189189193
myCAF_annotating,MYL9,myCAF_like,188,10,3.5628627042413474,188,100
myCAF_annotating,MYL9,pericyte_vCAF_like,617,10,2.3903268179245427,579,93.841166936790927
myCAF_annotating,MYH11,iCAF_like_uncertain,37,6,0,0,0
myCAF_annotating,MYH11,myCAF_like,188,10,0.68585923968500528,85,45.212765957446813
myCAF_annotating,MYH11,pericyte_vCAF_like,617,10,0.097620350453882995,58,9.4003241491085898
iCAF_annotating,CYP1B1,iCAF_like_uncertain,37,6,2.073461825016536,33,89.189189189189193
iCAF_annotating,CYP1B1,myCAF_like,188,10,0.019298737883579199,3,1.5957446808510638
iCAF_annotating,CYP1B1,pericyte_vCAF_like,617,10,0,0,0
iCAF_annotating,OGN,iCAF_like_uncertain,37,6,1.2681631641319195,29,78.378378378378372
iCAF_annotating,OGN,myCAF_like,188,10,0.0033009190894846998,1,0.53191489361702127
iCAF_annotating,OGN,pericyte_vCAF_like,617,10,0.0037274630280469999,1,0.16207455429497569
iCAF_annotating,COL11A1,iCAF_like_uncertain,37,6,1.0967754943176415,27,72.972972972972968
iCAF_annotating,COL11A1,myCAF_like,188,10,0.0099853547653022002,4,2.1276595744680851
iCAF_annotating,COL11A1,pericyte_vCAF_like,617,10,0.0030531343948429,3,0.48622366288492708
iCAF_annotating,SFRP2,iCAF_like_uncertain,37,6,0.70837113715257172,15,40.54054054054054
iCAF_annotating,SFRP2,myCAF_like,188,10,0,0,0
iCAF_annotating,SFRP2,pericyte_vCAF_like,617,10,0.00085813560616519995,1,0.16207455429497569
iCAF_annotating,SFRP4,iCAF_like_uncertain,37,6,1.5843877425995698,27,72.972972972972968
iCAF_annotating,SFRP4,myCAF_like,188,10,0.016590869080695202,3,1.5957446808510638
iCAF_annotating,SFRP4,pericyte_vCAF_like,617,10,0.014257149940537599,8,1.2965964343598055
fibroblast_support,COL1A1,iCAF_like_uncertain,37,6,3.8516078850190367,37,100
fibroblast_support,COL1A1,myCAF_like,188,10,2.0411398452996821,170,90.425531914893639
fibroblast_support,COL1A1,pericyte_vCAF_like,617,10,1.2826994314684774,424,68.719611021069696
fibroblast_support,COL1A2,iCAF_like_uncertain,37,6,3.5850813753923712,36,97.297297297297305
fibroblast_support,COL1A2,myCAF_like,188,10,2.5428703377039459,186,98.936170212765958
fibroblast_support,COL1A2,pericyte_vCAF_like,617,10,2.4531830839539981,608,98.541329011345198
fibroblast_support,DCN,iCAF_like_uncertain,37,6,4.1752140359257783,37,100
fibroblast_support,DCN,myCAF_like,188,10,2.1942863733827451,181,96.276595744680833
fibroblast_support,DCN,pericyte_vCAF_like,617,10,2.3504440085248199,580,94.003241491085902
fibroblast_support,LUM,iCAF_like_uncertain,37,6,2.7567467248366491,33,89.189189189189193
fibroblast_support,LUM,myCAF_like,188,10,0.61232509172629079,92,48.936170212765958
fibroblast_support,LUM,pericyte_vCAF_like,617,10,0.89633707132572071,361,58.508914100486223
fibroblast_support,PDGFRA,iCAF_like_uncertain,37,6,0.63843219241309512,21,56.756756756756758
fibroblast_support,PDGFRA,myCAF_like,188,10,0.0051474750608248004,2,1.0638297872340423
fibroblast_support,PDGFRA,pericyte_vCAF_like,617,10,0.0021142132620876001,2,0.32414910858995138
fibroblast_support,FAP,iCAF_like_uncertain,37,6,0.77903999448731331,23,62.162162162162161
fibroblast_support,FAP,myCAF_like,188,10,0.034851225711947501,7,3.7234042553191489
fibroblast_support,FAP,pericyte_vCAF_like,617,10,0.011148708664457,7,1.1345218800648298
endothelial_check,PECAM1,iCAF_like_uncertain,37,6,0,0,0
endothelial_check,PECAM1,myCAF_like,188,10,0.0064201245837666003,1,0.53191489361702127
endothelial_check,PECAM1,pericyte_vCAF_like,617,10,0.029583803423757202,20,3.2414910858995136
endothelial_check,VWF,iCAF_like_uncertain,37,6,0.0223774703613215,1,2.7027027027027022
endothelial_check,VWF,myCAF_like,188,10,0.0324892351230208,6,3.191489361702128
endothelial_check,VWF,pericyte_vCAF_like,617,10,0.019653619806085602,13,2.1069692058346838
endothelial_check,CDH5,iCAF_like_uncertain,37,6,0.0127612490769702,1,2.7027027027027022
endothelial_check,CDH5,myCAF_like,188,10,0.0041680942508426,1,0.53191489361702127
endothelial_check,CDH5,pericyte_vCAF_like,617,10,0.0089828127061058992,6,0.97244732576985438
endothelial_check,CLDN5,iCAF_like_uncertain,37,6,0.020731058561112899,1,2.7027027027027022
endothelial_check,CLDN5,myCAF_like,188,10,0.060553529256152303,9,4.7872340425531918
endothelial_check,CLDN5,pericyte_vCAF_like,617,10,0.15824118637188861,88,14.26256077795786
endothelial_check,EMCN,iCAF_like_uncertain,37,6,0.1086499162715005,7,18.918918918918919
endothelial_check,EMCN,myCAF_like,188,10,0.035453072049984803,8,4.2553191489361701
endothelial_check,EMCN,pericyte_vCAF_like,617,10,0.12532226810291669,89,14.424635332252835
endothelial_check,KDR,iCAF_like_uncertain,37,6,0.019473757785270301,1,2.7027027027027022
endothelial_check,KDR,myCAF_like,188,10,0.0041680942508426,1,0.53191489361702127
endothelial_check,KDR,pericyte_vCAF_like,617,10,0.015031852605338399,10,1.6207455429497568
neural_tumor_check,EGFR,iCAF_like_uncertain,37,6,0.32146284860563817,13,35.135135135135137
neural_tumor_check,EGFR,myCAF_like,188,10,0.1394975318425018,30,15.957446808510641
neural_tumor_check,EGFR,pericyte_vCAF_like,617,10,0.2144308431732283,128,20.745542949756889
neural_tumor_check,SOX2,iCAF_like_uncertain,37,6,0.048010214888310802,2,5.4054054054054053
neural_tumor_check,SOX2,myCAF_like,188,10,0.038696887326638701,11,5.8510638297872344
neural_tumor_check,SOX2,pericyte_vCAF_like,617,10,0.049579400852119399,36,5.8346839546191251
neural_tumor_check,GFAP,iCAF_like_uncertain,37,6,0.20848154698760729,10,27.027027027027028
neural_tumor_check,GFAP,myCAF_like,188,10,0.25897847569856097,52,27.659574468085108
neural_tumor_check,GFAP,pericyte_vCAF_like,617,10,0.2466119921441641,138,22.366288492706644
neural_tumor_check,OLIG2,iCAF_like_uncertain,37,6,0,0,0
neural_tumor_check,OLIG2,myCAF_like,188,10,0.0086440191983737005,3,1.5957446808510638
neural_tumor_check,OLIG2,pericyte_vCAF_like,617,10,0.01360032638729,9,1.4586709886547813
immune_check,PTPRC,iCAF_like_uncertain,37,6,0.020731058561112899,1,2.7027027027027022
immune_check,PTPRC,myCAF_like,188,10,0,0,0
immune_check,PTPRC,pericyte_vCAF_like,617,10,0.0041533745369896997,2,0.32414910858995138
immune_check,LST1,iCAF_like_uncertain,37,6,0.040792766586293501,2,5.4054054054054053
immune_check,LST1,myCAF_like,188,10,0.020012032658613999,5,2.6595744680851063
immune_check,LST1,pericyte_vCAF_like,617,10,0.011019796429764099,7,1.1345218800648298
immune_check,TYROBP,iCAF_like_uncertain,37,6,0.093206822284072899,5,13.513513513513514
immune_check,TYROBP,myCAF_like,188,10,0.050562177542727099,13,6.9148936170212769
immune_check,TYROBP,pericyte_vCAF_like,617,10,0.0417736727357449,30,4.8622366288492707
cycling_check,MKI67,iCAF_like_uncertain,37,6,0.075810150771429594,3,8.1081081081081088
cycling_check,MKI67,myCAF_like,188,10,0.017772554293962201,6,3.191489361702128
cycling_check,MKI67,pericyte_vCAF_like,617,10,0.027547179900901098,20,3.2414910858995136
cycling_check,TOP2A,iCAF_like_uncertain,37,6,0.076728353177299105,2,5.4054054054054053
cycling_check,TOP2A,myCAF_like,188,10,0.0192711466556423,7,3.7234042553191489
cycling_check,TOP2A,pericyte_vCAF_like,617,10,0.024785589194905099,19,3.0794165316045379
