stage,metric,aggregation,value
expanded_grid,patient_mean_macro_f1,patient_equal_weight,0.88405186037808359
expanded_grid,patient_sd_ddof1,patient_equal_weight,0.073424445127003662
expanded_grid,patient_mean_log_loss,patient_equal_weight,0.26792694484949503
expanded_grid,patient_mean_multiclass_brier_sum,patient_equal_weight,0.13723016488418935
expanded_grid,accuracy,pooled_cells,0.93705463182897863
expanded_grid,macro_f1_present_true_classes,pooled_cells,0.92318779065475753
expanded_grid,macro_f1_fixed_three_classes,pooled_cells,0.92318779065475753
calibrated,patient_mean_macro_f1,patient_equal_weight,0.8848715428001922
calibrated,patient_sd_ddof1,patient_equal_weight,0.060971778473322663
calibrated,patient_mean_log_loss,patient_equal_weight,0.2358241097827945
calibrated,patient_mean_multiclass_brier_sum,patient_equal_weight,0.13200404050497319
calibrated,accuracy,pooled_cells,0.93705463182897863
calibrated,macro_f1_present_true_classes,pooled_cells,0.92180504680504682
calibrated,macro_f1_fixed_three_classes,pooled_cells,0.92180504680504682
external_transfer,macro_f1,pooled_marker_reference,0.37972798540827163
external_transfer,balanced_accuracy,pooled_marker_reference,0.4045027847732508
external_transfer,accuracy,pooled_marker_reference,0.55056980056980054
external_transfer,domain_classifier_auc,dataset_separability_only,0.99996108844089837
