stage,metric,estimate,ci95_low,ci95_high,n_valid_draws
old_grid,patient_mean_macro_f1_present,0.87446320521521004,0.77548504478671099,0.94781695263145915,20000
old_grid,patient_mean_macro_f1_fixed_three,0.76874633432936834,0.62671697044441987,0.89426097806029514,20000
old_grid,patient_mean_macro_f1_union,0.84659582170266534,0.72976764933718441,0.94271290652942763,20000
old_grid,pooled_macro_f1_fixed_three,0.92888363637186921,0.87715440611997264,0.94757488857052075,20000
old_grid,pooled_accuracy,0.94180522565320679,0.90355289144237516,0.96298421274041479,20000
expanded_grid,patient_mean_macro_f1_present,0.88405186037808359,0.84186678532464343,0.92754195977402121,20000
expanded_grid,patient_mean_macro_f1_fixed_three,0.7746806685045875,0.65569417898551063,0.89034588815148152,20000
expanded_grid,patient_mean_macro_f1_union,0.85618447686553867,0.77528851409261657,0.92278538460948478,20000
expanded_grid,pooled_macro_f1_fixed_three,0.92318779065475765,0.87504030395633214,0.94135079977036695,20000
expanded_grid,pooled_accuracy,0.93705463182897863,0.89583262855209744,0.96150959317818441,20000
expanded_grid,patient_mean_log_loss,0.26792694484949547,0.1593007807328044,0.38801767290412997,20000
expanded_grid,patient_mean_brier_sum,0.13723016488418929,0.082075710237449806,0.19408598432285529,20000
expanded_grid,patient_mean_accuracy,0.91659955791003045,0.88117326006271257,0.95123231810876441,20000
calibrated,patient_mean_macro_f1_present,0.8848715428001922,0.84961177612410743,0.92067898427076478,20000
calibrated,patient_mean_macro_f1_fixed_three,0.77347339465204423,0.66011054931264823,0.88241180128327823,20000
calibrated,patient_mean_macro_f1_union,0.8848715428001922,0.84961177612410743,0.92067898427076478,20000
calibrated,pooled_macro_f1_fixed_three,0.92180504680504682,0.90068798686269558,0.93395567714274719,20000
calibrated,pooled_accuracy,0.93705463182897863,0.89748181395448279,0.96226415094339623,20000
calibrated,patient_mean_log_loss,0.2358241097827945,0.16409205668512369,0.3040075168641827,20000
calibrated,patient_mean_brier_sum,0.13200404050497319,0.088319988250272402,0.1735662539234481,20000
calibrated,patient_mean_accuracy,0.921909137011372,0.89017646996797906,0.95365873984107741,20000
