dataset,stage,patient_id,n_cells,accuracy,macro_f1_present_true_classes,macro_f1_fixed_three_classes,macro_f1_union_true_pred_classes,icaf_f1,icaf_n,log_loss,multiclass_brier_sum
GSE173278,expanded_grid,JK124,96,0.88541666666666663,0.83486483708500359,0.83486483708500359,0.83486483708500359,0.80000000000000004,2,0.3360643929134976,0.1675663795678605
GSE173278,expanded_grid,JK125,31,0.90322580645161277,0.85400313971742547,0.56933542647828361,0.85400313971742547,,0,0.30438478241353262,0.16183028956497039
GSE173278,expanded_grid,JK126,6,0.83333333333333337,0.77777777777777768,0.51851851851851849,0.77777777777777768,,0,0.40594441035087558,0.27372549183390088
GSE173278,expanded_grid,JK134,14,0.9285714285714286,0.81333333333333324,0.54222222222222216,0.81333333333333324,,0,0.1163385688180146,0.086585961225644006
GSE173278,expanded_grid,JK136,66,0.98484848484848475,0.97939803637534195,0.97939803637534195,0.97939803637534195,1,2,0.13191411226663799,0.0448759773457292
GSE173278,expanded_grid,JK142,151,0.90066225165562919,0.91731429154442035,0.91731429154442035,0.91731429154442035,0.96551724137931039,14,0.39177526903151061,0.17546642916285959
GSE173278,expanded_grid,JK152,15,1,1,1,1,1,7,0.034084886729592298,0.0063620478366198004
GSE173278,expanded_grid,JK153,352,0.96875,0.88969094445645125,0.88969094445645125,0.88969094445645125,1,4,0.077147716047122103,0.048227048593919998
GSE173278,expanded_grid,JK156,28,0.8214285714285714,0.83602150537634412,0.55734767025089604,0.55734767025089604,,0,0.67757049619419918,0.29308318593881799
GSE173278,expanded_grid,JK163,83,0.93975903614457845,0.938114738114738,0.938114738114738,0.938114738114738,0.93333333333333324,8,0.2040448137299673,0.1145788377715706
GSE173278,calibrated,JK124,96,0.89583333333333337,0.904062053480302,0.904062053480302,0.904062053480302,1,2,0.2430820588388449,0.1470223601681227
GSE173278,calibrated,JK125,31,0.93548387096774199,0.89666666666666672,0.59777777777777785,0.89666666666666672,,0,0.32515874299332259,0.17510624433477129
GSE173278,calibrated,JK126,6,0.83333333333333337,0.77777777777777768,0.51851851851851849,0.77777777777777768,,0,0.31623513296016509,0.2217114862729368
GSE173278,calibrated,JK134,14,0.9285714285714286,0.81333333333333324,0.54222222222222216,0.81333333333333324,,0,0.1106476931758688,0.082192700362251195
GSE173278,calibrated,JK136,66,0.98484848484848475,0.8858858858858859,0.8858858858858859,0.8858858858858859,0.66666666666666663,2,0.2070819938734538,0.079288479016942304
GSE173278,calibrated,JK142,151,0.88741721854304634,0.89782639782639784,0.89782639782639784,0.89782639782639784,0.9285714285714286,14,0.39351244750732028,0.19530994821014519
GSE173278,calibrated,JK152,15,1,1,1,1,1,7,0.063616216807127604,0.017255098459301801
GSE173278,calibrated,JK153,352,0.96875,0.88969094445645125,0.88969094445645125,0.88969094445645125,1,4,0.0750490708265069,0.0460819852635534
GSE173278,calibrated,JK156,28,0.8571428571428571,0.85416666666666674,0.56944444444444453,0.85416666666666674,,0,0.37414765360844932,0.22269771323512269
GSE173278,calibrated,JK163,83,0.92771084337349397,0.92930570190844164,0.92930570190844164,0.92930570190844164,0.93333333333333324,8,0.2497100872368854,0.13337438972658419
