permutation,score,elapsed_seconds,n_fits,fit_convergence_issues,warnings,labels_sha256
1,0.44325134723396381,93.700148954994802,370,0,0,b4ff08a14cb1a8f0bce5b6e2f92f2ce2a8ad7b288faf7c8cd7cdb9e190957398
2,0.3589975529360232,114.22973910199651,370,0,0,6d10d89d7d07ac892ef8f59c9b4cff46218ca016d1782c1d2127a83ff646851c
3,0.41046201313222858,114.06077341000493,370,0,0,655dd526ecd04b213aefe92ef323fada028eb75ac5b9241a97309cc37d1e42ce
4,0.36316316934867687,112.7996695490001,370,0,0,f47366d91aa3e3a2aa65ff758211fea99c8a1d0753e8f173371cef90649053f2
5,0.40762543105765248,111.89362715199968,370,0,0,cbe4157f72ce4c487aa08105469a91f889f0703fab80b672d2f7d7569eab246c
6,0.48650897782496511,111.71741426199878,370,0,0,e54caccb5ad1c64fe44c461157efe8ed84f6e81049bdba7085f608a15d42bf3c
7,0.40798691545481092,113.33904563100076,370,0,0,e62ea94b2921bcd3c9a9a99934f4973b08185532acff7599944636bc2e976a1d
8,0.36991390347540681,114.21085550599672,370,0,0,40db07cac2b638a255cd6e6591e31d84ce4446764db77ad2548a4438edf11657
9,0.35617850444434751,112.30708720700204,370,0,0,d3cac73b28790f5a3af1d5762cc46394b2a1a32a8d0bbe9eb5fab65f06aac456
10,0.37294609181960447,108.36283587399519,370,0,0,ce61f13a2ce80cc80a14234cbd421845b0ab3e74ccf887afe2d5ff0db68335d6
11,0.44504139480088961,109.3318432399974,370,0,0,7af89af3f2b67d171226b6a76cf2122fcc302a2540a4fc9e2e0c08151f2d9778
12,0.39999479460379522,111.63379551799881,370,0,0,45374666b53f9cfbe0cd8d897770c139dba7acfb9ebc31a6cd9b6f174432874b
13,0.40440414061270968,111.59834622400376,370,0,0,3949fa107ea523711333a1487e8f41a89fee4882a534f076c34746a616cb7bc0
14,0.41763659294212108,111.24705847199948,370,0,0,27912ecdf7cb2fb0355f44b73c1f99e85a21c571adb8d1f98509faf94207e86c
15,0.37850237791936409,111.50756623999769,370,0,0,cda3cf55057f1e757184056353a3f7016de2bcfa4da1c87933ad5c791281b17a
16,0.41607068306398659,107.4393974880004,370,0,0,d1c5c0081e136304853d2469e98e659041b9d87d830ef0bd321cfb8f40c8d60e
17,0.43652754915544162,109.5780876439967,370,0,0,2d70452b5975d7dacc32d3fb62e2cd60bcfd1ee3f07c2c1ae7ecc835390f7e3e
18,0.37116659224425541,111.27538034199824,370,0,0,0a0b954df368787baebd693d904fadd7ac3220d1b3a1ed5a11a17f6acee5a764
19,0.38442001532442122,109.03673205700034,370,0,0,dfef3d15c711c47695c233cbd3c20214815e058bd99fa6b73fa8a4ea1947da04
20,0.39398193471653731,112.25068485800148,370,0,0,7fb63f8981617e0abb39da72b6acd22c772b6e8ec056817c3b9eda0343a4817c
21,0.44557663559249122,109.23677195500204,370,0,0,992b16fc17039deb215a0402bafd98ca09e25e128dd898a4adbfe7d8ae2a81b4
22,0.34494666041057209,111.25636336000024,370,0,0,6e54f7fe9dfd8b42135a9b867e0b2d01edd9c6db0dc786c2c5213353d63e8e51
23,0.44874406538630868,110.23596889799956,370,0,0,ac893dd19754baf39f81eb4e2a8aec12f3409e5e57072faacf601d368ec478e8
24,0.39654493902120219,109.32366828299564,370,0,0,261607a8c6c3467b8259bdf19549a495c4fe439d5ca6893877cf3d58400dd144
25,0.36113688892381818,111.44003286500084,370,0,0,90a4eb6cf8e1a5d87bc078c0ac2fa198e6fb3b1cdaf410014ee133677059dd62
26,0.37819763367467979,113.95133886400436,370,0,0,176df8927880cd2fee865e387679a0d7944160672afcbdcc4419c0a1d7f5b080
27,0.4448120054395806,111.35230020900052,370,0,0,c9ee098722d62d12059b295acd4a6a94c29af808d033060c9d40f781119b049a
28,0.34502982501507162,112.91814349999912,370,0,0,f258444db45b42a9d0b75f1dc6cedd3ba3d2635dde2675653ac37b0797a2e3e9
29,0.44600595774310292,111.51344598900324,370,0,0,9591d2b6aa93ec23c8ba7d6fcba3cdbf7283f2c2468d7344637bb19124942a43
30,0.4523837844927831,112.14162763600324,370,0,0,eada6680fed49c324d43af51e66348cdf3f8bed4b1243bfe9db4079117af2e7e
31,0.51191907702503536,110.43412383500254,370,0,0,6140027c3ed61dc48e4caefd7de1f68aa4d02cf94ccc41b146ab16990f6064d6
32,0.37037531469360507,109.9417057019964,370,0,0,a4589f3fd28ee02172c128aa328de7c021463ae5a87ae8478949b19a493037e0
33,0.41105669997665573,110.04584945799434,370,0,0,5c4e52a74813e02e2febb40b74041016cebdb73628df7ff872dd8845ec794cbd
34,0.43862137547423952,82.093026189999364,370,0,0,1d8dd9c02f14dbb21a2a54bc3763b54ff2acaf71fb6f0c7b1962229e5f39658b
35,0.39387581542565009,82.119502554000064,370,0,0,46fcb97a4ca214b3734c52000384660db0a6ec34d96a0bf6c1f1d9aaa37a0dac
36,0.42534166090026593,73.726044490998902,370,0,0,ba9c278e608604d005c6e1e4f53138325a71d42016821e968d36616f90558eac
37,0.36062099788286889,89.594950145999974,370,0,0,abc806c4e46eb3fc23022aad6f5122cf4e14c53ffdf5d4272ddced01ae9bb72e
38,0.39418757599651089,90.613060052999558,370,0,0,e5ddfe7264e4fd55031a828aa49cb3f72b633ee2f90308ba941810171713d801
39,0.39653867186797048,105.8899740880006,370,0,0,d83e508166246440641d7968212e7a41fd23051968b1eaa4368cb4b98cc63f30
40,0.45336935197987521,90.98348619600074,370,0,0,685216707bb2b87ed0e80bc3833fb81852ca6725ef28d049449a8cae54b799ce
41,0.33335769846436147,90.990737541000286,370,0,0,b60723c9dddeed5d5ee6c095a51bd1f328eed409c7aadde5d3bd865946d35455
42,0.44753482747743251,96.078755717999243,370,0,0,94426c321da4254b4150dbaeccc8a1dd5c5abc3bbcf2bdc8a97c14b03ff1215f
43,0.36661348152047651,94.238209052999082,370,0,0,149951ef856bf8f201ae0cecbcfae0a549f9689e9035dded35db7267cfd7ec64
