class,stage,bin,n,mean_probability,observed_frequency
iCAF_like_uncertain,Ham olasılık,0,795,0.0044779292535438,0
iCAF_like_uncertain,Ham olasılık,1,5,0.1316828563188254,0
iCAF_like_uncertain,Ham olasılık,2,1,0.29891499412931499,0
iCAF_like_uncertain,Ham olasılık,4,2,0.45521598026718491,0.5
iCAF_like_uncertain,Ham olasılık,5,6,0.52571391412337309,0.83333333333333337
iCAF_like_uncertain,Ham olasılık,7,1,0.7256016645940192,0
iCAF_like_uncertain,Ham olasılık,8,3,0.85671041652352964,0.66666666666666663
iCAF_like_uncertain,Ham olasılık,9,29,0.98164500905180085,1
iCAF_like_uncertain,Kalibre,0,799,0.0041674726207051004,0
iCAF_like_uncertain,Kalibre,1,3,0.16014829740264949,0
iCAF_like_uncertain,Kalibre,2,2,0.27733213747024621,0.5
iCAF_like_uncertain,Kalibre,3,1,0.38595629396979581,1
iCAF_like_uncertain,Kalibre,4,2,0.47005967940305893,0.5
iCAF_like_uncertain,Kalibre,5,4,0.55189297804928938,0.75
iCAF_like_uncertain,Kalibre,7,4,0.76835770913863999,1
iCAF_like_uncertain,Kalibre,8,7,0.85915866720948941,1
iCAF_like_uncertain,Kalibre,9,20,0.9770061313407018,1
myCAF_like,Ham olasılık,0,589,0.0077710321826681,0.0203735144312393
myCAF_like,Ham olasılık,1,25,0.14095059903190391,0.28000000000000003
myCAF_like,Ham olasılık,2,24,0.23712637596956029,0.20833333333333329
myCAF_like,Ham olasılık,3,7,0.34052747151113649,0.14285714285714279
myCAF_like,Ham olasılık,4,17,0.4476940050614035,0.23529411764705879
myCAF_like,Ham olasılık,5,8,0.54955004845594813,0.375
myCAF_like,Ham olasılık,6,13,0.64531167937577005,0.61538461538461542
myCAF_like,Ham olasılık,7,7,0.76296952627679782,0.7142857142857143
myCAF_like,Ham olasılık,8,14,0.86290318532785049,0.7142857142857143
myCAF_like,Ham olasılık,9,138,0.98773043424768037,0.96376811594202882
myCAF_like,Kalibre,0,550,0.0110206143643052,0.023636363636363601
myCAF_like,Kalibre,1,54,0.1424832494406568,0.074074074074074001
myCAF_like,Kalibre,2,28,0.24707997955239591,0.14285714285714279
myCAF_like,Kalibre,3,19,0.34397970002058681,0.31578947368421051
myCAF_like,Kalibre,4,15,0.44460728081860368,0.26666666666666661
myCAF_like,Kalibre,5,18,0.54862191318394293,0.61111111111111116
myCAF_like,Kalibre,6,8,0.64130300307505061,0.875
myCAF_like,Kalibre,7,16,0.75985630729315945,0.5
myCAF_like,Kalibre,8,22,0.85495972791683272,1
myCAF_like,Kalibre,9,112,0.98372058654508565,0.97321428571428559
pericyte_vCAF_like,Ham olasılık,0,175,0.0094906173705967996,0.040000000000000001
pericyte_vCAF_like,Ham olasılık,1,13,0.13713731388968389,0.38461538461538458
pericyte_vCAF_like,Ham olasılık,2,6,0.23872413207373711,0.1666666666666666
pericyte_vCAF_like,Ham olasılık,3,14,0.35310073612202031,0.3571428571428571
pericyte_vCAF_like,Ham olasılık,4,11,0.45946723397813027,0.45454545454545447
pericyte_vCAF_like,Ham olasılık,5,17,0.54853741819014812,0.70588235294117652
pericyte_vCAF_like,Ham olasılık,6,8,0.65317871278854978,0.875
pericyte_vCAF_like,Ham olasılık,7,26,0.75892105790339848,0.80769230769230771
pericyte_vCAF_like,Ham olasılık,8,32,0.85649103360505563,0.8125
pericyte_vCAF_like,Ham olasılık,9,540,0.99035312851023283,0.97777777777777763
pericyte_vCAF_like,Kalibre,0,143,0.016866553957044599,0.034965034965034898
pericyte_vCAF_like,Kalibre,1,25,0.14298512349651499,0.040000000000000001
pericyte_vCAF_like,Kalibre,2,15,0.241349532571935,0.33333333333333331
pericyte_vCAF_like,Kalibre,3,8,0.35123191214749178,0.125
pericyte_vCAF_like,Kalibre,4,20,0.45048752400084108,0.34999999999999998
pericyte_vCAF_like,Kalibre,5,18,0.54597034152608614,0.66666666666666663
pericyte_vCAF_like,Kalibre,6,21,0.65482737830418569,0.76190476190476186
pericyte_vCAF_like,Kalibre,7,29,0.75013550731432921,0.82758620689655171
pericyte_vCAF_like,Kalibre,8,59,0.85348023983790089,0.93220338983050843
pericyte_vCAF_like,Kalibre,9,504,0.9887534406557984,0.97420634920634919
