source_path,sha256,bytes,purpose
01_V5_Ana_Analiz/00_REPORT/fixed_selective_thresholds_exploratory.csv,ea81e2c78d6e3cba2664bba6309109b491f1f46e84d304269c5a5953e6fca9b7,694,Prespecified exploratory confidence thresholds; not clinical operating points
01_V5_Ana_Analiz/00_REPORT/reliability_bins.csv,dffe6111145f37199d0ab5368dddad401de89bc6d87073ce3eded9b18d0c0f9e,3747,Descriptive pooled-cell reliability bins; source stage labels retained
01_V5_Ana_Analiz/03_V5_STAGE2/PERMUTATION_STATUS.json,4575884e8b711400e8389a6f5d7bb17ca2a31ad7c5f9b90f373202c0b5485bae,307,Authoritative completed 1000-permutation status
01_V5_Ana_Analiz/03_V5_STAGE2/observed/oof_predictions.csv,a58f2dac4101e241aa9a6b5bfa50e145127bf9960f3e143786280225139bfa47,184946,V5 held-out-patient predictions and raw/calibrated class probabilities
01_V5_Ana_Analiz/03_V5_STAGE2/observed/patient_metrics.csv,ee10c9e870190aebae68abe7646af27028b113390724bdd498bc3e2a9758bb76,3848,"Observed per-patient metrics, main and calibrated stages only"
01_V5_Ana_Analiz/03_V5_STAGE2/observed/summary.json,7ac03226a77efecf7fac5c9f84b62ed6c4355d5d1572a67cf6df9e8ca5f0bee4,4264,Observed V5 model metrics; immutable production-time permutation flag is superseded
01_V5_Ana_Analiz/03_V5_STAGE2/permutation_scores.csv,e809ae2fe459c3f4d0691601044b5ac7b899090e856df81479c00b5d73a49452,114768,Completed restricted permutation null distribution
01_V5_Ana_Analiz/03_V5_STAGE2/source_metadata.csv,3464f6e6709ee230f2fe7ba2ed5d1d2359a51afe371ea4100e361511c05473d4,206807,"Authoritative V5 cell IDs, patient groups, labels and FibroScore1"
01_V5_Ana_Analiz/04_SOURCE_INPUTS/01_ORIGINAL_SOURCES/val_caf_clean_manual_subtype_v2_reprocessed.rds,fd136b0dc93db5911c9f4bd139a9dd67f0d846de275eeb6fd93e6676675ce75c,14763564,"Original Seurat UMAP coordinates: reductions$umap@cell.embeddings; extracted, not regenerated"
02_Ek_Kontroller/audit/patient_block_bootstrap_ci.csv,d0b8d32471ccf5acf64568ce0cee6e251e68a7c14f5b72959cd9dc1c6ce8673c,2169,"Descriptive patient bootstrap intervals, not new model training"
02_Ek_Kontroller/external/prepared_hgnc/external_primary_raw_counts_aligned.npz,071ca4efc2ce83ec0beb9354a145d04d284ef223d9687f7b47e60fc48d5c78e3,3720379,External raw counts aligned to V5 input genes; USP9X extraction only
02_Ek_Kontroller/external/prepared_hgnc/input_cells.txt,3a5f5bf279b14138526a9efa2d004719e574ee6c90cba942144565a5721b51f1,23386,Cell order of aligned external raw counts
02_Ek_Kontroller/external/prepared_hgnc/input_genes.txt,8783fcd2cf86dd22a9eab71ea343911a05755824d0d10c3ebfd1143e4465b43f,202961,Gene order of aligned external raw counts
02_Ek_Kontroller/external/results_hgnc/EXTERNAL_V6_SUMMARY.json,f97acb62accf8404cf1c67111bfd728e9c14b1c248a842dfab26c3805f19fa6a,3271,Authoritative latest external transfer summary
02_Ek_Kontroller/external/results_hgnc/external_predictions.csv,585dfdec1eed5ecb950d3c92998d9a25718734bc3f4c199c2254a46a3ed7f94c,1665349,Latest HGNC-aligned external predictions; primary normalization only
02_Ek_Kontroller/external/results_hgnc/marker_reference_concordance.csv,ae1baf7fd8c80b49027a3d33632fe02aa8ac45643e43a32e22ebbaea3dfeee63,1179,External primary and sensitivity marker-reference concordance
02_Ek_Kontroller/provenance/caf_USP9X_cell_values.csv,73377c3631aed8f45b800c8ff62e36fc0216258378370e3340783a3679ea2881,68130,Verified raw/log-normalized USP9X counts for 842 development cells
02_Ek_Kontroller/provenance/caf_USP9X_patient_by_label.csv,68691608d6b94b1077edd35a5535b83b0d581f4f2b4bfcefb2816d450d3922e3,1504,Per-patient subtype USP9X summary
02_Ek_Kontroller/provenance/caf_marker_expression_by_label.csv,ffba9e022cf6d7e20829e3d15e5cd79fc16770b0321dea2e03128d47b76d72cb,9179,Marker/label internal consistency only
02_Ek_Kontroller/provenance/healthy_USP9X_by_source_cell_class.csv,ec94778204a4595ec6a62288b21a2852597b46066d31ab2acfa1ae7db3798df2,746,Healthy post-QC USP9X by source class prefix
02_Ek_Kontroller/provenance/healthy_cell_qc_and_marker_counts.csv,02f67b1cf1a1274922308511610ff13fb2879bf162de21a281611205aa65194a,967761,"Source-class prefixes and USP9X counts, retain documented reported-QC passing cells only"
