patient,manual_subtype_v2,n_cells,mean_log_normalized,n_positive,positive_fraction
JK124,iCAF_like_uncertain,2,0,0,0
JK124,myCAF_like,20,0.21915321169407281,6,0.29999999999999999
JK124,pericyte_vCAF_like,74,0.1949144646228313,14,0.1891891891891892
JK125,myCAF_like,6,0.25718898935952761,2,0.33333333333333331
JK125,pericyte_vCAF_like,25,0.20014161592998991,5,0.20000000000000001
JK126,myCAF_like,2,0,0,0
JK126,pericyte_vCAF_like,4,0.57610297163776281,2,0.5
JK134,myCAF_like,1,0,0,0
JK134,pericyte_vCAF_like,13,0.31099438830317228,4,0.30769230769230771
JK136,iCAF_like_uncertain,2,0,0,0
JK136,myCAF_like,9,0.23651669207105691,3,0.33333333333333331
JK136,pericyte_vCAF_like,55,0.21287260262944929,16,0.29090909090909089
JK142,iCAF_like_uncertain,14,0.24039599156970851,7,0.5
JK142,myCAF_like,82,0.2205831296367638,22,0.26829268292682928
JK142,pericyte_vCAF_like,55,0.11202605393703299,11,0.20000000000000001
JK152,iCAF_like_uncertain,7,0.10662692766438819,2,0.2857142857142857
JK152,myCAF_like,1,0,0,0
JK152,pericyte_vCAF_like,7,0.1222969954609287,1,0.14285714285714279
JK153,iCAF_like_uncertain,4,0,0,0
JK153,myCAF_like,17,0.33757050842982422,7,0.41176470588235292
JK153,pericyte_vCAF_like,331,0.20398763821689281,68,0.20543806646525681
JK156,myCAF_like,11,0.10007898609140679,2,0.1818181818181818
JK156,pericyte_vCAF_like,17,0.2762932340280993,6,0.3529411764705882
JK163,iCAF_like_uncertain,8,0,0,0
JK163,myCAF_like,39,0.16889679686863829,7,0.17948717948717949
JK163,pericyte_vCAF_like,36,0.1837294390316582,7,0.19444444444444439
